badge_id,badge_title,issuer_unit,taxonomy_category,taxonomy_type,taxonomy_level,self_declared_level,pathway_position,audience_signal,confidence,reviewer_status,primary_skill_category,learning_outcome_summary,delivery_mode,source_dataset
SYN-077,Risk Assessment and Hazard Evaluation Techniques in Industrial Settings,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,Professional Development,Apply safety practices in industrial environments,Hybrid,provided_dataset
SYN-078,Technical Aspects of AI,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-079,Understanding Neural Networks and Deep Learning,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Understand core modeling concepts and practical machine learning applications,Hybrid,provided_dataset
SYN-080,Change Management - Foundational,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Leadership,Apply change management strategies in practical scenarios,Workshop,provided_dataset
SYN-081,Change Management Capstone,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Capstone/Microcredential,Capstone/Microcredential,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Leadership,Apply change management strategies in practical scenarios,Self-paced,provided_dataset
SYN-082,Change Management Intermediate,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Intermediate,Intermediate,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Leadership,Apply change management strategies in practical scenarios,Workshop,provided_dataset
SYN-083,Entrepreneurial Experience Badge,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Student Leader,Applied,Applied,No standalone badge offering.,Current student leaders and organization members,,,Professional Development,Develop entrepreneurial thinking and practical business skills,Online,provided_dataset
SYN-084,Entrepreneurship Essentials Badge,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Student Leader,Applied,Applied,No standalone badge offering.,Current student leaders and organization members,,,Professional Development,Develop entrepreneurial thinking and practical business skills,Self-paced,provided_dataset
SYN-085,Strategic Thinking - Capstone,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Capstone/Microcredential,Capstone/Microcredential,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Leadership,Strengthen strategic analysis and decision-making skills,Self-paced,provided_dataset
SYN-086,Strategic Thinking - Foundational,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Leadership,Strengthen strategic analysis and decision-making skills,Hybrid,provided_dataset
SYN-087,Strategic Thinking - Intermediate,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Intermediate,Intermediate,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Leadership,Strengthen strategic analysis and decision-making skills,Hybrid,provided_dataset
SYN-088,Workplace Readiness - Capstone,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Capstone/Microcredential,Capstone/Microcredential,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Professional Development,Develop workplace skills that improve career preparedness,Hybrid,provided_dataset
SYN-089,Workplace Readiness - Foundational,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Professional Development,Develop workplace skills that improve career preparedness,Hybrid,provided_dataset
SYN-090,Workplace Readiness - Intermediate,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Intermediate,Intermediate,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Professional Development,Develop workplace skills that improve career preparedness,Hybrid,provided_dataset
SYN-091,CPT Course,Office of Global Initiatives,Co- and Extra-Curricular Digital Badge,International Student,Applied,Applied,No standalone badge offering.,Current international students in F-1 status,,,Professional Development,Understand employment compliance requirements for international students,Online,provided_dataset
SYN-092,Make 101: Introduction to the Makerspace,NJIT Makerspace,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Academic Skills,Build hands-on prototyping and makerspace skills,Hybrid,provided_dataset
SYN-093,Make 102: Introduction to CO2 Laser Cutting,NJIT Makerspace,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Academic Skills,Apply laser cutting techniques safely and effectively,Workshop,provided_dataset
SYN-094,Make 103: Introduction to 3D Printing,NJIT Makerspace,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Academic Skills,Apply 3D printing techniques for prototyping and fabrication,Hybrid,provided_dataset
SYN-095,Make 242: Introduction to the Woodshop,NJIT Makerspace,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Academic Skills,Use woodshop tools safely for fabrication projects,Workshop,provided_dataset
SYN-096,Makerspace Basics,NJIT Makerspace,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Academic Skills,Build hands-on prototyping and makerspace skills,Workshop,provided_dataset
SYN-097,MakerSpeak: 3D Concrete Printing,NJIT Makerspace,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Applied,Applied,No standalone badge offering.,Current undergraduate and graduate students,,,Academic Skills,Build hands-on prototyping and makerspace skills,Hybrid,provided_dataset
SYN-098,MakerSpeak: Attention! to Details,NJIT Makerspace,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Applied,Applied,No standalone badge offering.,Current undergraduate and graduate students,,,AI / ML,Apply AI concepts and tools in academic or professional settings,Workshop,provided_dataset
SYN-099,MakerSpeak: Iterate to Innovate,NJIT Makerspace,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Applied,Applied,No standalone badge offering.,Current undergraduate and graduate students,,,Academic Skills,Build hands-on prototyping and makerspace skills,Workshop,provided_dataset
SYN-100,NJIT/NYSCC Formulation Workshop,Newark College of Engineering,Not publicly available,Student or Industry Professional,Applied,Applied,No standalone badge offering.,"Students, researchers, and industry professionals",,,Academic Skills,Apply formulation and engineering concepts in lab settings,Online,provided_dataset
SYN-101,2026 Infrastructure Forum,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Foundational,Foundational,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,Professional Development,Build professional skills through guided learning experiences,Online,provided_dataset
SYN-102,Adaptability & Lifelong Learning with AI,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-103,AI and Data Proficiency,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-104,AI for Administrative Efficiency,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Staff or Administrator,Applied,Applied,No standalone badge offering.,NJIT staff and administrators,,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-105,AI for Educators,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Faculty or Instructional Staff,Applied,Applied,No standalone badge offering.,"Faculty, instructors, and instructional staff",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Self-paced,provided_dataset
SYN-106,AI in Art and Design Summit,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Foundational,Foundational,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Self-paced,provided_dataset
SYN-107,AI in Context: History and Interdisciplinary Perspectives,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-108,AI in the Workplace,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Online,provided_dataset
SYN-109,AI Literacy,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Foundational,Foundational,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-110,AI Literacy and Fundamentals,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Foundational,Foundational,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Self-paced,provided_dataset
SYN-111,AI Prompting for Business,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Self-paced,provided_dataset
SYN-112,AI-Enhanced Instructional Practices,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Faculty or Instructional Staff,Applied,Applied,No standalone badge offering.,"Faculty, instructors, and instructional staff",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Self-paced,provided_dataset
SYN-113,Critical Evaluation of Generative AI Outputs,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Self-paced,provided_dataset
SYN-114,Effective and Responsible Use of AI,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-115,Ethical and Responsible Use of AI,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-116,Foundations of AI,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Workshop,provided_dataset
SYN-117,Introduction to AI in Education,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Foundational,Foundational,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Workshop,provided_dataset
SYN-118,Machine Learning Awareness,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Foundational,Foundational,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Understand core modeling concepts and practical machine learning applications,Hybrid,provided_dataset
SYN-119,New Jersey Future Energy Transmission Conference 2025,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,Data Science,Understand energy topics and related professional applications,Hybrid,provided_dataset
SYN-120,Project Management In Healthcare Microcredential,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Working Professional,Capstone/Microcredential,Capstone/Microcredential,Yes - connected to a pathway or sequenced badge series.,Working professionals and adult learners,,,Professional Development,Apply project management concepts in healthcare contexts,Hybrid,provided_dataset
SYN-121,Project Management in Healthcare – Course 1: Introduction,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Working Professional,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,Working professionals and adult learners,,,Professional Development,Apply project management concepts in healthcare contexts,Workshop,provided_dataset
SYN-122,Project Management in Healthcare – Course 2: Intermediate,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Working Professional,Intermediate,Intermediate,Yes - connected to a pathway or sequenced badge series.,Working professionals and adult learners,,,Professional Development,Apply project management concepts in healthcare contexts,Hybrid,provided_dataset
SYN-123,Project Management in Healthcare – Course 3: Advanced,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Working Professional,Advanced,Advanced,Yes - connected to a pathway or sequenced badge series.,Working professionals and adult learners,,,Professional Development,Apply project management concepts in healthcare contexts,Hybrid,provided_dataset
SYN-124,Project Management in Healthcare – Course 4: Agile,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Working Professional,Applied,Applied,Yes - connected to a pathway or sequenced badge series.,Working professionals and adult learners,,,Professional Development,Apply project management concepts in healthcare contexts,Workshop,provided_dataset
SYN-125,Prompting for Generative AI,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-126,Responsible and Innovative Use of AI in Academics,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Self-paced,provided_dataset
SYN-127,Risk Assessment and Hazard Evaluation Techniques in Industrial Settings,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,Professional Development,Apply safety practices in industrial environments,Online,provided_dataset
SYN-128,Technical Aspects of AI,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Self-paced,provided_dataset
SYN-129,Understanding Neural Networks and Deep Learning,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Understand core modeling concepts and practical machine learning applications,Self-paced,provided_dataset
SYN-130,Change Management - Foundational,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Leadership,Apply change management strategies in practical scenarios,Self-paced,provided_dataset
SYN-131,Change Management Capstone,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Capstone/Microcredential,Capstone/Microcredential,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Leadership,Apply change management strategies in practical scenarios,Online,provided_dataset
SYN-132,Change Management Intermediate,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Intermediate,Intermediate,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Leadership,Apply change management strategies in practical scenarios,Hybrid,provided_dataset
SYN-133,Entrepreneurial Experience Badge,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Student Leader,Applied,Applied,No standalone badge offering.,Current student leaders and organization members,,,Professional Development,Develop entrepreneurial thinking and practical business skills,Self-paced,provided_dataset
SYN-134,Entrepreneurship Essentials Badge,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Student Leader,Applied,Applied,No standalone badge offering.,Current student leaders and organization members,,,Professional Development,Develop entrepreneurial thinking and practical business skills,Workshop,provided_dataset
SYN-135,Strategic Thinking - Capstone,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Capstone/Microcredential,Capstone/Microcredential,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Leadership,Strengthen strategic analysis and decision-making skills,Hybrid,provided_dataset
SYN-136,Strategic Thinking - Foundational,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Leadership,Strengthen strategic analysis and decision-making skills,Hybrid,provided_dataset
SYN-137,Strategic Thinking - Intermediate,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Intermediate,Intermediate,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Leadership,Strengthen strategic analysis and decision-making skills,Online,provided_dataset
SYN-138,Workplace Readiness - Capstone,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Capstone/Microcredential,Capstone/Microcredential,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Professional Development,Develop workplace skills that improve career preparedness,Self-paced,provided_dataset
SYN-139,Workplace Readiness - Foundational,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Professional Development,Develop workplace skills that improve career preparedness,Hybrid,provided_dataset
SYN-140,Workplace Readiness - Intermediate,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Intermediate,Intermediate,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Professional Development,Develop workplace skills that improve career preparedness,Hybrid,provided_dataset
SYN-141,CPT Course,Office of Global Initiatives,Co- and Extra-Curricular Digital Badge,International Student,Applied,Applied,No standalone badge offering.,Current international students in F-1 status,,,Professional Development,Understand employment compliance requirements for international students,Self-paced,provided_dataset
SYN-142,Make 101: Introduction to the Makerspace,NJIT Makerspace,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Academic Skills,Build hands-on prototyping and makerspace skills,Workshop,provided_dataset
SYN-143,Make 102: Introduction to CO2 Laser Cutting,NJIT Makerspace,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Academic Skills,Apply laser cutting techniques safely and effectively,Workshop,provided_dataset
SYN-144,Make 103: Introduction to 3D Printing,NJIT Makerspace,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Academic Skills,Apply 3D printing techniques for prototyping and fabrication,Workshop,provided_dataset
SYN-145,Make 242: Introduction to the Woodshop,NJIT Makerspace,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Academic Skills,Use woodshop tools safely for fabrication projects,Workshop,provided_dataset
SYN-146,Makerspace Basics,NJIT Makerspace,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,Current undergraduate and graduate students,,,Academic Skills,Build hands-on prototyping and makerspace skills,Hybrid,provided_dataset
SYN-147,MakerSpeak: 3D Concrete Printing,NJIT Makerspace,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Applied,Applied,No standalone badge offering.,Current undergraduate and graduate students,,,Academic Skills,Build hands-on prototyping and makerspace skills,Hybrid,provided_dataset
SYN-148,MakerSpeak: Attention! to Details,NJIT Makerspace,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Applied,Applied,No standalone badge offering.,Current undergraduate and graduate students,,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-149,MakerSpeak: Iterate to Innovate,NJIT Makerspace,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Applied,Applied,No standalone badge offering.,Current undergraduate and graduate students,,,Academic Skills,Build hands-on prototyping and makerspace skills,Hybrid,provided_dataset
SYN-150,NJIT/NYSCC Formulation Workshop,Newark College of Engineering,Not publicly available,Student or Industry Professional,Applied,Applied,No standalone badge offering.,"Students, researchers, and industry professionals",,,Academic Skills,Apply formulation and engineering concepts in lab settings,Hybrid,provided_dataset
